CMDLINE C:\Users\DELL\universityproject\formanai\backend\venv\Scripts\python.exe app.py
MEM 3.468750 1733517960.6915
MEM 3.468750 1733517960.7919
MEM 3.468750 1733517960.8922
MEM 3.468750 1733517960.9927
MEM 3.468750 1733517961.0928
MEM 3.468750 1733517961.1930
MEM 3.468750 1733517961.2936
MEM 3.468750 1733517961.3939
MEM 3.468750 1733517961.4948
MEM 3.468750 1733517961.5956
MEM 3.468750 1733517961.6964
MEM 3.468750 1733517961.7969
MEM 3.468750 1733517961.8978
MEM 3.468750 1733517961.9983
MEM 3.468750 1733517962.0995
MEM 3.468750 1733517962.2005
MEM 3.468750 1733517962.3015
MEM 3.468750 1733517962.4021
MEM 3.468750 1733517962.5027
MEM 3.468750 1733517962.6040
MEM 3.468750 1733517962.7053
MEM 3.468750 1733517962.8057
MEM 3.468750 1733517962.9062
MEM 3.468750 1733517963.0065
MEM 3.468750 1733517963.1074
MEM 3.468750 1733517963.2078
MEM 3.468750 1733517963.3084
MEM 3.468750 1733517963.4093
MEM 3.468750 1733517963.5102
MEM 3.468750 1733517963.6109
MEM 3.468750 1733517963.7119
MEM 3.468750 1733517963.8125
MEM 3.468750 1733517963.9134
MEM 3.468750 1733517964.0140
MEM 3.468750 1733517964.1150
MEM 3.468750 1733517964.2157
MEM 3.468750 1733517964.3167
MEM 3.468750 1733517964.4173
MEM 3.468750 1733517964.5179
MEM 3.468750 1733517964.6184
MEM 3.468750 1733517964.7192
MEM 3.468750 1733517964.8201
MEM 3.468750 1733517964.9207
MEM 3.468750 1733517965.0209
MEM 3.468750 1733517965.1213
MEM 3.468750 1733517965.2222
MEM 3.468750 1733517965.3226
MEM 3.468750 1733517965.4230
MEM 3.468750 1733517965.5234
MEM 3.468750 1733517965.6236
MEM 3.468750 1733517965.7241
MEM 3.468750 1733517965.8248
MEM 3.468750 1733517965.9252
MEM 3.468750 1733517966.0256
MEM 3.468750 1733517966.1260
MEM 3.468750 1733517966.2264
MEM 3.468750 1733517966.3271
MEM 3.468750 1733517966.4278
MEM 3.468750 1733517966.5284
MEM 3.468750 1733517966.6288
MEM 3.468750 1733517966.7295
MEM 3.468750 1733517966.8300
MEM 3.468750 1733517966.9308
MEM 3.468750 1733517967.0316
MEM 3.468750 1733517967.1323
MEM 3.468750 1733517967.2328
MEM 3.468750 1733517967.3334
MEM 3.468750 1733517967.4342
MEM 3.468750 1733517967.5348
MEM 3.468750 1733517967.6356
MEM 3.468750 1733517967.7364
MEM 3.468750 1733517967.8373
MEM 3.468750 1733517967.9378
MEM 3.468750 1733517968.0380
MEM 3.468750 1733517968.1383
MEM 3.468750 1733517968.2385
MEM 3.468750 1733517968.3388
MEM 3.468750 1733517968.4392
MEM 3.468750 1733517968.5396
MEM 3.468750 1733517968.6400
MEM 3.468750 1733517968.7404
MEM 3.468750 1733517968.8408
MEM 3.468750 1733517968.9411
MEM 3.468750 1733517969.0418
MEM 3.468750 1733517969.1429
MEM 3.468750 1733517969.2435
MEM 3.468750 1733517969.3440
MEM 3.468750 1733517969.4442
MEM 3.468750 1733517969.5445
MEM 3.468750 1733517969.6449
MEM 3.468750 1733517969.7456
MEM 3.468750 1733517969.8464
MEM 3.468750 1733517969.9469
MEM 3.468750 1733517970.0473
MEM 3.468750 1733517970.1481
MEM 3.468750 1733517970.2490
MEM 3.468750 1733517970.3498
MEM 3.468750 1733517970.4506
MEM 3.468750 1733517970.5510
MEM 3.468750 1733517970.6517
MEM 3.468750 1733517970.7521
MEM 3.468750 1733517970.8529
MEM 3.468750 1733517970.9537
MEM 3.468750 1733517971.0542
MEM 3.468750 1733517971.1546
MEM 3.468750 1733517971.2549
MEM 3.468750 1733517971.3554
MEM 3.468750 1733517971.4557
MEM 3.468750 1733517971.5561
MEM 3.468750 1733517971.6568
MEM 3.468750 1733517971.7577
MEM 3.468750 1733517971.8584
MEM 3.468750 1733517971.9592
MEM 3.468750 1733517972.0601
MEM 3.441406 1733517972.1604
MEM 3.441406 1733517972.2610
MEM 3.441406 1733517972.3615
MEM 3.441406 1733517972.4621
MEM 3.441406 1733517972.5625
MEM 3.441406 1733517972.6633
MEM 3.441406 1733517972.7637
MEM 3.441406 1733517972.8646
MEM 3.441406 1733517972.9656
MEM 3.441406 1733517973.0661
MEM 3.441406 1733517973.1666
MEM 3.441406 1733517973.2669
MEM 3.441406 1733517973.3676
MEM 3.441406 1733517973.4683
MEM 3.441406 1733517973.5691
MEM 3.441406 1733517973.6695
MEM 3.441406 1733517973.7699
MEM 3.441406 1733517973.8706
MEM 3.441406 1733517973.9709
MEM 3.441406 1733517974.0713
MEM 3.441406 1733517974.1718
MEM 3.441406 1733517974.2723
MEM 3.441406 1733517974.3726
MEM 3.441406 1733517974.4730
MEM 3.441406 1733517974.5734
MEM 3.441406 1733517974.6740
MEM 3.441406 1733517974.7746
MEM 3.441406 1733517974.8754
MEM 3.441406 1733517974.9760
MEM 3.441406 1733517975.0765
MEM 3.441406 1733517975.1770
MEM 3.441406 1733517975.2778
MEM 3.441406 1733517975.3784
MEM 3.441406 1733517975.4792
MEM 3.441406 1733517975.5797
MEM 3.441406 1733517975.6802
MEM 3.441406 1733517975.7809
MEM 3.441406 1733517975.8815
MEM 3.441406 1733517975.9820
MEM 3.441406 1733517976.0823
MEM 3.441406 1733517976.1830
MEM 3.441406 1733517976.2837
MEM 3.441406 1733517976.3844
MEM 3.441406 1733517976.4853
MEM 3.441406 1733517976.5859
MEM 3.441406 1733517976.6865
MEM 3.441406 1733517976.7876
MEM 3.441406 1733517976.8881
MEM 3.441406 1733517976.9890
MEM 3.441406 1733517977.0897
MEM 3.441406 1733517977.1902
MEM 3.441406 1733517977.2908
MEM 3.441406 1733517977.3913
MEM 3.441406 1733517977.4917
MEM 3.441406 1733517977.5920
MEM 3.441406 1733517977.6928
MEM 3.441406 1733517977.7933
MEM 3.441406 1733517977.8940
MEM 3.441406 1733517977.9947
MEM 3.441406 1733517978.0953
MEM 3.441406 1733517978.1960
MEM 3.441406 1733517978.2966
MEM 3.441406 1733517978.3973
MEM 3.441406 1733517978.4979
MEM 3.441406 1733517978.5986
MEM 3.441406 1733517978.6991
MEM 3.441406 1733517978.8001
MEM 3.441406 1733517978.9008
MEM 3.441406 1733517979.0015
MEM 3.441406 1733517979.1021
MEM 3.441406 1733517979.2028
MEM 3.441406 1733517979.3035
MEM 3.441406 1733517979.4043
MEM 3.441406 1733517979.5046
MEM 3.441406 1733517979.6052
MEM 3.441406 1733517979.7059
MEM 3.441406 1733517979.8065
MEM 3.441406 1733517979.9071
MEM 3.441406 1733517980.0076
MEM 3.441406 1733517980.1086
MEM 3.441406 1733517980.2095
MEM 3.441406 1733517980.3100
MEM 3.441406 1733517980.4109
MEM 3.441406 1733517980.5118
MEM 3.441406 1733517980.6125
MEM 3.441406 1733517980.7132
MEM 3.441406 1733517980.8140
MEM 3.441406 1733517980.9146
MEM 3.441406 1733517981.0149
MEM 3.441406 1733517981.1157
MEM 3.441406 1733517981.2167
MEM 3.441406 1733517981.3175
MEM 3.441406 1733517981.4183
MEM 3.441406 1733517981.5193
MEM 3.441406 1733517981.6204
MEM 3.441406 1733517981.7213
MEM 3.441406 1733517981.8218
MEM 3.441406 1733517981.9222
MEM 3.441406 1733517982.0227
MEM 3.441406 1733517982.1232
MEM 3.441406 1733517982.2237
MEM 3.441406 1733517982.3243
MEM 3.441406 1733517982.4252
MEM 3.441406 1733517982.5258
MEM 3.441406 1733517982.6265
MEM 3.441406 1733517982.7271
MEM 3.441406 1733517982.8276
MEM 3.441406 1733517982.9283
MEM 3.441406 1733517983.0287
MEM 3.441406 1733517983.1297
MEM 3.441406 1733517983.2303
MEM 3.441406 1733517983.3311
MEM 3.441406 1733517983.4314
MEM 3.441406 1733517983.5320
MEM 3.441406 1733517983.6326
MEM 3.441406 1733517983.7335
MEM 3.441406 1733517983.8346
MEM 3.441406 1733517983.9354
MEM 3.441406 1733517984.0363
MEM 3.441406 1733517984.1372
MEM 3.441406 1733517984.2376
MEM 3.441406 1733517984.3381
MEM 3.441406 1733517984.4387
MEM 3.441406 1733517984.5394
MEM 3.441406 1733517984.6401
MEM 3.441406 1733517984.7409
MEM 3.441406 1733517984.8416
MEM 3.441406 1733517984.9421
MEM 3.441406 1733517985.0430
MEM 3.441406 1733517985.1433
MEM 3.441406 1733517985.2435
MEM 3.441406 1733517985.3440
MEM 3.441406 1733517985.4443
MEM 3.441406 1733517985.5447
MEM 3.441406 1733517985.6453
MEM 3.441406 1733517985.7460
MEM 3.441406 1733517985.8463
MEM 3.441406 1733517985.9468
MEM 3.441406 1733517986.0472
MEM 3.441406 1733517986.1478
MEM 3.441406 1733517986.2484
MEM 3.441406 1733517986.3488
MEM 3.441406 1733517986.4494
MEM 3.441406 1733517986.5499
MEM 3.441406 1733517986.6505
MEM 3.441406 1733517986.7507
MEM 3.441406 1733517986.8510
MEM 3.441406 1733517986.9513
MEM 3.441406 1733517987.0520
MEM 3.441406 1733517987.1524
MEM 3.441406 1733517987.2531
MEM 3.441406 1733517987.3534
MEM 3.441406 1733517987.4543
MEM 3.441406 1733517987.5549
MEM 3.441406 1733517987.6554
MEM 3.441406 1733517987.7559
MEM 3.441406 1733517987.8563
MEM 3.441406 1733517987.9569
MEM 3.441406 1733517988.0573
MEM 3.441406 1733517988.1581
MEM 3.441406 1733517988.2585
MEM 3.441406 1733517988.3592
MEM 3.441406 1733517988.4597
MEM 3.441406 1733517988.5604
MEM 3.441406 1733517988.6607
MEM 3.441406 1733517988.7609
MEM 3.441406 1733517988.8613
MEM 3.441406 1733517988.9615
MEM 3.441406 1733517989.0619
MEM 3.441406 1733517989.1621
MEM 3.441406 1733517989.2631
MEM 3.441406 1733517989.3639
MEM 3.441406 1733517989.4644
MEM 3.441406 1733517989.5654
MEM 3.441406 1733517989.6659
MEM 3.441406 1733517989.7666
MEM 3.441406 1733517989.8672
MEM 3.441406 1733517989.9676
MEM 3.441406 1733517990.0685
MEM 3.441406 1733517990.1691
MEM 3.441406 1733517990.2695
MEM 3.441406 1733517990.3699
MEM 3.441406 1733517990.4709
MEM 3.441406 1733517990.5712
MEM 3.441406 1733517990.6721
MEM 3.441406 1733517990.7726
MEM 3.441406 1733517990.8730
MEM 3.441406 1733517990.9732
MEM 3.441406 1733517991.0735
MEM 3.441406 1733517991.1740
MEM 3.441406 1733517991.2742
MEM 3.441406 1733517991.3749
MEM 3.441406 1733517991.4755
MEM 3.441406 1733517991.5760
MEM 3.441406 1733517991.6763
MEM 3.441406 1733517991.7767
MEM 3.441406 1733517991.8769
MEM 3.441406 1733517991.9777
MEM 3.441406 1733517992.0784
MEM 3.441406 1733517992.1792
MEM 3.441406 1733517992.2797
MEM 3.441406 1733517992.3805
MEM 3.441406 1733517992.4810
MEM 3.441406 1733517992.5818
MEM 3.441406 1733517992.6826
MEM 3.441406 1733517992.7831
MEM 3.441406 1733517992.8839
MEM 3.441406 1733517992.9843
MEM 3.441406 1733517993.0848
MEM 3.441406 1733517993.1853
MEM 3.441406 1733517993.2860
MEM 3.441406 1733517993.3864
MEM 3.441406 1733517993.4868
MEM 3.441406 1733517993.5873
MEM 3.441406 1733517993.6880
MEM 3.441406 1733517993.7885
MEM 3.441406 1733517993.8890
MEM 3.441406 1733517993.9896
MEM 3.441406 1733517994.0901
MEM 3.441406 1733517994.1907
MEM 3.441406 1733517994.2912
MEM 3.441406 1733517994.3917
MEM 3.441406 1733517994.4922
MEM 3.441406 1733517994.5933
MEM 3.441406 1733517994.6940
MEM 3.441406 1733517994.7948
MEM 3.441406 1733517994.8956
MEM 3.441406 1733517994.9964
MEM 3.441406 1733517995.0972
MEM 3.441406 1733517995.1981
MEM 3.441406 1733517995.2985
MEM 3.441406 1733517995.3989
MEM 3.441406 1733517995.5000
MEM 3.441406 1733517995.6005
MEM 3.441406 1733517995.7016
MEM 3.441406 1733517995.8026
MEM 3.441406 1733517995.9034
MEM 3.441406 1733517996.0040
MEM 3.441406 1733517996.1049
MEM 3.441406 1733517996.2057
MEM 3.441406 1733517996.3064
MEM 3.441406 1733517996.4066
MEM 3.441406 1733517996.5073
MEM 3.441406 1733517996.6076
MEM 3.441406 1733517996.7081
MEM 3.441406 1733517996.8086
MEM 3.441406 1733517996.9100
MEM 3.441406 1733517997.0109
MEM 3.441406 1733517997.1119
MEM 3.441406 1733517997.2126
MEM 3.441406 1733517997.3136
MEM 3.441406 1733517997.4139
MEM 3.441406 1733517997.5145
MEM 3.441406 1733517997.6152
MEM 3.441406 1733517997.7159
MEM 3.441406 1733517997.8166
MEM 3.441406 1733517997.9172
MEM 3.441406 1733517998.0179
MEM 3.441406 1733517998.1185
MEM 3.441406 1733517998.2194
MEM 3.441406 1733517998.3197
MEM 3.441406 1733517998.4204
MEM 3.441406 1733517998.5209
MEM 3.441406 1733517998.6216
MEM 3.441406 1733517998.7219
MEM 3.441406 1733517998.8226
MEM 3.441406 1733517998.9229
MEM 3.441406 1733517999.0234
MEM 3.441406 1733517999.1238
MEM 3.441406 1733517999.2242
MEM 3.441406 1733517999.3249
MEM 3.441406 1733517999.4252
MEM 3.441406 1733517999.5260
MEM 3.441406 1733517999.6270
MEM 3.441406 1733517999.7276
MEM 3.441406 1733517999.8282
MEM 3.441406 1733517999.9290
MEM 3.441406 1733518000.0292
MEM 3.441406 1733518000.1296
MEM 3.441406 1733518000.2301
MEM 3.441406 1733518000.3305
MEM 3.441406 1733518000.4311
MEM 3.441406 1733518000.5315
MEM 3.441406 1733518000.6318
MEM 3.441406 1733518000.7320
MEM 3.441406 1733518000.8329
MEM 3.441406 1733518000.9335
MEM 3.441406 1733518001.0339
MEM 3.441406 1733518001.1346
MEM 3.441406 1733518001.2348
MEM 3.441406 1733518001.3356
MEM 3.441406 1733518001.4362
MEM 3.441406 1733518001.5365
MEM 3.441406 1733518001.6368
MEM 3.441406 1733518001.7371
MEM 3.441406 1733518001.8374
MEM 3.441406 1733518001.9379
MEM 3.441406 1733518002.0385
MEM 3.441406 1733518002.1393
MEM 3.441406 1733518002.2399
MEM 3.441406 1733518002.3407
MEM 3.441406 1733518002.4412
MEM 3.441406 1733518002.5425
MEM 3.441406 1733518002.6429
MEM 3.441406 1733518002.7438
MEM 3.441406 1733518002.8443
MEM 3.441406 1733518002.9452
MEM 3.441406 1733518003.0457
MEM 3.441406 1733518003.1462
MEM 3.441406 1733518003.2469
MEM 3.441406 1733518003.3475
MEM 3.441406 1733518003.4480
MEM 3.441406 1733518003.5484
MEM 3.441406 1733518003.6490
MEM 3.441406 1733518003.7498
MEM 3.441406 1733518003.8501
MEM 3.441406 1733518003.9507
MEM 3.441406 1733518004.0514
MEM 3.441406 1733518004.1517
MEM 3.441406 1733518004.2521
MEM 3.441406 1733518004.3525
MEM 3.441406 1733518004.4528
MEM 3.441406 1733518004.5534
MEM 3.441406 1733518004.6537
MEM 3.441406 1733518004.7541
MEM 3.441406 1733518004.8546
MEM 3.441406 1733518004.9549
MEM 3.441406 1733518005.0554
MEM 3.441406 1733518005.1559
MEM 3.441406 1733518005.2567
MEM 3.441406 1733518005.3576
MEM 3.441406 1733518005.4582
MEM 3.441406 1733518005.5587
MEM 3.441406 1733518005.6592
MEM 3.441406 1733518005.7600
MEM 3.441406 1733518005.8609
MEM 3.441406 1733518005.9615
MEM 3.441406 1733518006.0622
MEM 3.441406 1733518006.1627
MEM 3.441406 1733518006.2629
MEM 3.441406 1733518006.3635
MEM 3.441406 1733518006.4642
MEM 3.441406 1733518006.5653
MEM 3.441406 1733518006.6660
MEM 3.441406 1733518006.7668
MEM 3.441406 1733518006.8672
MEM 3.441406 1733518006.9680
MEM 3.441406 1733518007.0684
MEM 3.441406 1733518007.1692
MEM 3.441406 1733518007.2700
MEM 3.441406 1733518007.3706
MEM 3.441406 1733518007.4709
MEM 3.441406 1733518007.5719
MEM 3.441406 1733518007.6726
MEM 3.441406 1733518007.7735
MEM 3.441406 1733518007.8742
MEM 3.441406 1733518007.9750
MEM 3.441406 1733518008.0760
MEM 3.441406 1733518008.1767
MEM 3.441406 1733518008.2771
MEM 3.441406 1733518008.3778
MEM 3.441406 1733518008.4781
MEM 3.441406 1733518008.5784
MEM 3.441406 1733518008.6790
MEM 3.441406 1733518008.7795
MEM 3.441406 1733518008.8799
MEM 3.441406 1733518008.9803
MEM 3.441406 1733518009.0809
MEM 3.441406 1733518009.1816
MEM 3.441406 1733518009.2824
MEM 3.441406 1733518009.3837
MEM 3.441406 1733518009.4845
MEM 3.441406 1733518009.5853
MEM 3.441406 1733518009.6860
MEM 3.441406 1733518009.7868
MEM 3.441406 1733518009.8874
MEM 3.441406 1733518009.9881
MEM 3.441406 1733518010.0888
MEM 3.441406 1733518010.1896
MEM 3.441406 1733518010.2904
MEM 3.441406 1733518010.3913
MEM 3.441406 1733518010.4922
MEM 3.441406 1733518010.5926
MEM 3.441406 1733518010.6929
MEM 3.441406 1733518010.7933
MEM 3.441406 1733518010.8938
MEM 3.441406 1733518010.9944
MEM 3.441406 1733518011.0953
MEM 3.441406 1733518011.1962
MEM 3.441406 1733518011.2969
MEM 3.441406 1733518011.3976
MEM 3.441406 1733518011.4984
MEM 3.441406 1733518011.5997
MEM 3.441406 1733518011.7001
MEM 3.441406 1733518011.8008
MEM 3.441406 1733518011.9016
MEM 3.441406 1733518012.0026
MEM 3.441406 1733518012.1036
MEM 3.441406 1733518012.2041
MEM 3.441406 1733518012.3049
MEM 3.441406 1733518012.4058
MEM 3.441406 1733518012.5068
MEM 3.441406 1733518012.6077
MEM 3.441406 1733518012.7087
MEM 3.441406 1733518012.8092
MEM 3.441406 1733518012.9098
MEM 3.441406 1733518013.0104
MEM 3.441406 1733518013.1112
MEM 3.441406 1733518013.2118
MEM 3.441406 1733518013.3127
MEM 3.441406 1733518013.4134
MEM 3.441406 1733518013.5140
MEM 3.441406 1733518013.6148
MEM 3.441406 1733518013.7154
MEM 3.441406 1733518013.8160
MEM 3.441406 1733518013.9168
MEM 3.441406 1733518014.0172
MEM 3.441406 1733518014.1177
MEM 3.441406 1733518014.2181
MEM 3.441406 1733518014.3186
MEM 3.441406 1733518014.4195
MEM 3.441406 1733518014.5204
MEM 3.441406 1733518014.6210
MEM 3.441406 1733518014.7216
MEM 3.441406 1733518014.8223
MEM 3.441406 1733518014.9226
MEM 3.441406 1733518015.0233
MEM 3.441406 1733518015.1236
MEM 3.441406 1733518015.2242
MEM 3.441406 1733518015.3252
MEM 3.441406 1733518015.4258
MEM 3.441406 1733518015.5266
MEM 3.441406 1733518015.6270
MEM 3.441406 1733518015.7277
MEM 3.441406 1733518015.8283
MEM 3.441406 1733518015.9288
MEM 3.441406 1733518016.0297
MEM 3.441406 1733518016.1304
MEM 3.441406 1733518016.2310
MEM 3.441406 1733518016.3316
MEM 3.441406 1733518016.4322
MEM 3.441406 1733518016.5329
MEM 3.441406 1733518016.6338
MEM 3.441406 1733518016.7347
MEM 3.441406 1733518016.8354
MEM 3.441406 1733518016.9360
MEM 3.441406 1733518017.0367
MEM 3.441406 1733518017.1374
MEM 3.441406 1733518017.2382
MEM 3.441406 1733518017.3385
MEM 3.441406 1733518017.4391
MEM 3.441406 1733518017.5399
MEM 3.441406 1733518017.6405
MEM 3.441406 1733518017.7410
MEM 3.441406 1733518017.8416
MEM 3.441406 1733518017.9419
MEM 3.441406 1733518018.0426
MEM 3.441406 1733518018.1433
MEM 3.441406 1733518018.2439
MEM 3.441406 1733518018.3443
MEM 3.441406 1733518018.4445
MEM 3.441406 1733518018.5449
MEM 3.441406 1733518018.6453
MEM 3.441406 1733518018.7456
MEM 3.441406 1733518018.8466
MEM 3.441406 1733518018.9470
MEM 3.441406 1733518019.0476
MEM 3.441406 1733518019.1480
MEM 3.441406 1733518019.2487
MEM 3.441406 1733518019.3493
MEM 3.441406 1733518019.4499
MEM 3.441406 1733518019.5508
MEM 3.441406 1733518019.6512
MEM 3.441406 1733518019.7522
MEM 3.441406 1733518019.8525
MEM 3.441406 1733518019.9531
MEM 3.441406 1733518020.0535
MEM 3.441406 1733518020.1542
MEM 3.441406 1733518020.2545
MEM 3.441406 1733518020.3548
MEM 3.441406 1733518020.4555
MEM 3.441406 1733518020.5558
MEM 3.441406 1733518020.6562
MEM 3.441406 1733518020.7564
MEM 3.441406 1733518020.8567
MEM 3.441406 1733518020.9571
MEM 3.441406 1733518021.0577
MEM 3.441406 1733518021.1582
MEM 3.441406 1733518021.2584
MEM 3.441406 1733518021.3587
MEM 3.441406 1733518021.4589
MEM 3.441406 1733518021.5595
MEM 3.441406 1733518021.6598
MEM 3.441406 1733518021.7604
MEM 3.441406 1733518021.8608
MEM 3.441406 1733518021.9615
MEM 3.441406 1733518022.0617
MEM 3.441406 1733518022.1624
MEM 3.441406 1733518022.2632
MEM 3.441406 1733518022.3637
MEM 3.441406 1733518022.4644
MEM 3.441406 1733518022.5842
MEM 3.441406 1733518022.7157
MEM 3.441406 1733518022.8225
MEM 3.441406 1733518022.9232
MEM 3.441406 1733518023.0236
MEM 3.441406 1733518023.1241
MEM 3.441406 1733518023.2249
MEM 3.441406 1733518023.3256
MEM 3.441406 1733518023.4265
MEM 3.441406 1733518023.5269
MEM 3.441406 1733518023.6273
MEM 3.441406 1733518023.7279
MEM 3.441406 1733518023.8281
MEM 3.441406 1733518023.9283
MEM 3.441406 1733518024.0289
